grad_min_v,grad_max_v,grad_mean_v,grad_median_v,relu_grad_max_v,relu_grad_mean_v,relu_grad_median_v,image,
0.6,0.6,0.6,0.6,0.6,0.6,0.6,1111111111 (1).JPEG,
0.2,0.8,0.8,0.4,0.8,1,0.6,00000069.JPEG,
0.4,0.4,0.6,0.4,0.4,0.4,0.2,1111111111 (2).JPEG,
0.2,0.8,0.2,0.2,0.8,0.6,0.4,0000000005.JPEG,
0.2,0.6,0.4,0.4,0.6,0.6,0.4,0000000003.JPEG,
0.2,0.4,0.4,0.2,0.4,0.4,0.2,0000000002.JPEG,
0.4,0.6,0.2,0.4,0.6,0.4,0.4,0000000004.JPEG,
0.2,0.6,0.6,0.6,0.6,0.6,0.8,00000003.JPEG,
0.4,0.8,0.6,0.8,0.8,0.8,0.8,0000000001.JPEG,
0.4,0.6,0.6,0.6,0.6,0.6,0.6,00000102.JPEG,
0.4,0.2,0.6,0.8,0.2,0.6,0.8,00000009.JPEG,
0.4,0.2,0,0.2,0.2,0.4,0.2,00000001.JPEG,
0.4,0.4,0.2,0.4,0.4,0.4,0.4,00000555.JPEG,
0,0.4,0.4,0.2,0.4,0.4,0.2,00000024.JPEG,
0.2,0.6,0.6,0.4,0.6,0.8,0.4,00000106.JPEG,
0,0.6,0.6,0.2,0.6,0.6,0.2,00000112.JPEG,
0.6,0.4,0.6,0.6,0.4,0.4,0.6,00000018.JPEG,
0.4,0.4,0.4,0.4,0.4,0.4,0.4,00000061.JPEG,
0.2,0.4,0.4,0.4,0.4,0.6,0.4,00000151.JPEG,
0.6,0.6,0.8,0.6,0.6,0.6,0.6,00000279.JPEG,
0.4,0.6,0.6,0.6,0.6,0.4,0.6,00000327.JPEG,
0.2,0.6,0.2,0.2,0.6,0.6,0.2,00000082.JPEG,
0.6,0.4,0.6,0.8,0.4,0.6,0.6,00000032.JPEG,
0.2,0.4,0.4,0.2,0.4,0.4,0.2,00000052.JPEG,
,,,,,,,,
grad_min_v,grad_max_v,grad_mean_v,grad_median_v,relu_grad_max_v,relu_grad_mean_v,relu_grad_median_v,image,
0.325,0.516666667,0.475,0.441666667,0.516666667,0.55,0.45,,precision @ 5
